Date,Open,High,Low,Close,Adj Close,Volume
2023-01-10,14111.320313,14389.715820,14113.162109,14354.652344,14354.652344,13006959012
2023-01-11,14354.708008,14750.573242,14297.846680,14750.573242,14750.573242,15110303169
2023-01-12,14900.833984,15579.742188,14874.385742,15445.304688,15445.304688,28625054903
2023-01-13,15444.747070,16322.730469,15356.441406,16277.968750,16277.968750,23894238152
2023-01-14,16278.754883,17230.929688,16276.541016,17150.117188,17150.117188,31859865882
2023-01-15,17151.085938,17164.384766,16848.169922,17082.644531,17082.644531,15788085106
2023-01-16,17083.810547,17514.871094,16981.982422,17340.363281,17340.363281,21946133764
2023-01-17,17345.443359,17456.384766,17203.550781,17227.423828,17227.423828,20352286455
2023-01-18,17227.042969,17346.355469,16621.498047,16756.195313,16756.195313,24302066122
2023-01-19,16754.546875,17075.291016,16753.441406,17015.861328,17015.861328,17069163987
2023-01-20,17014.714844,18316.544922,16921.816406,18299.341797,18299.341797,23240111159
2023-01-21,18300.048828,18792.765625,18170.832031,18385.371094,18385.371094,26186368995
2023-01-22,18385.662109,18610.654297,18064.236328,18313.632813,18313.632813,19946651396
2023-01-23,18314.173828,18672.140625,18346.089844,18526.525391,18526.525391,21421912348
2023-01-24,18522.644531,18674.376953,18289.917969,18356.433594,18356.433594,21412478348
2023-01-25,18358.703125,19128.052734,18183.335938,18627.701172,18627.701172,24725378618
2023-01-26,18620.525391,18736.031250,18525.128906,18552.671875,18552.671875,21230975996
2023-01-27,18551.011719,18890.818359,18264.994141,18640.435547,18640.435547,20501840981
2023-01-28,18641.433594,18710.839844,18475.617188,18601.957031,18601.957031,11883470410
2023-01-29,18602.248047,19319.832031,18564.789063,19172.357422,19172.357422,22115092151
2023-01-30,19172.423828,19188.582031,18341.177734,18494.345703,18494.345703,22029186900
2023-01-31,18494.876953,18857.556641,18421.443359,18799.511719,18799.511719,18554593899
2023-02-01,18798.333984,19204.837891,18616.998047,19150.941406,19150.941406,21539977956
2023-02-02,19148.564453,19498.613281,19203.529297,19206.210938,19206.210938,26239252108
2023-02-03,19204.199219,19616.716797,19310.375000,19463.242188,19463.242188,22479296866
2023-02-04,19460.751953,19552.574219,19332.494141,19355.306641,19355.306641,12973830331
2023-02-05,19355.638672,19431.285156,18963.685547,19060.480469,19060.480469,16244539834
2023-02-06,19059.115234,19231.773438,18874.183594,18925.462891,18925.462891,19810945615
2023-02-07,18923.099609,19317.082031,18922.283203,19300.148438,19300.148438,22555244077
2023-02-08,19299.421875,19394.892578,18835.988281,19004.099609,19004.099609,21018858876
2023-02-09,19010.037109,19060.849609,17964.203125,18008.976563,18008.976563,26884717058
2023-02-10,18008.949219,18141.652344,17865.849609,17946.925781,17946.925781,22445616167
2023-02-11,17947.470703,18146.052734,17919.792969,18129.029297,18129.029297,13557872198
2023-02-12,18129.052734,18286.623047,17971.681641,18079.285156,18079.285156,14787440960
2023-02-13,18078.285156,18155.667969,17683.435547,17948.546875,17948.546875,19685651378
2023-02-14,17943.380859,18251.662109,17834.091797,18252.390625,18252.390625,22007706757
2023-02-15,18252.210938,20194.128906,18175.708984,20194.128906,20194.128906,26986031932
2023-02-16,20193.720703,20926.992188,19708.414063,19728.482422,19728.482422,32834211571
2023-02-17,19726.652344,20691.490234,19595.220703,20396.548828,20396.548828,34339467134
2023-02-18,20396.294922,20590.201172,20326.783203,20459.380859,20459.380859,16294776289
2023-02-19,20458.343750,20834.488281,20224.128906,20224.128906,20224.128906,21244547111
2023-02-20,20231.593750,20789.173828,19909.097656,20624.455078,20624.455078,24078509287
2023-02-21,20627.695313,20899.835938,19981.441406,20180.054688,20180.054688,25808639412
2023-02-22,20180.933594,20203.826172,19604.449219,20078.673828,20078.673828,25068413328
2023-02-23,20080.232422,20372.718750,19684.244141,19928.169922,19928.169922,25361158381
2023-02-24,19926.933594,20048.882813,19261.404297,19425.671875,19425.671875,22451645779
2023-02-25,19427.343750,19430.892578,19136.611328,19399.294922,19399.294922,13477350497
2023-02-26,19398.271484,19777.890625,19322.994141,19716.210938,19716.210938,13928279912
2023-02-27,19716.410156,19833.732422,19252.966797,19501.025391,19501.025391,18786316795
2023-02-28,19500.167969,19462.281250,19179.351563,19236.654297,19236.654297,17065954853
2023-03-01,19239.626953,19769.080078,19214.216797,19661.515625,19661.515625,20506535886
2023-03-02,19661.906250,19725.347656,19478.445313,19645.703125,19645.703125,17060581849
2023-03-03,19646.679688,19650.007813,18446.093750,18580.523438,18580.523438,21654522243
2023-03-04,18580.726563,18616.685547,18445.355469,18573.623047,18573.623047,9277951790
2023-03-05,18574.281250,18789.937500,18535.228516,18652.976563,18652.976563,11071808508
2023-03-06,18654.058594,18771.320313,18557.679688,18652.250000,18652.250000,14430654914
2023-03-07,18651.056641,18719.248047,18613.537109,18787.347656,18787.347656,19248736209
2023-03-08,18784.535156,18831.580078,18323.548828,18328.777344,18328.777344,19019540220
2023-03-09,18330.464844,18399.552734,16955.902344,17079.117188,17079.117188,25467815509
2023-03-10,18330.464844,18399.705078,16955.902344,17079.117188,17079.117188,25467815509
2023-03-11,17082.457031,17084.267578,16391.437500,16776.568359,16776.568359,32891431901
2023-03-12,16777.095703,17278.152344,16676.634766,17145.099609,17145.099609,25079185688
2023-03-13,17141.458984,18371.423828,16992.529297,18353.966797,18353.966797,24245969315
2023-03-14,18347.720703,20165.615234,18169.726563,19887.226563,19887.226563,40654919503
2023-03-15,19890.705078,21756.464844,19811.300781,20365.500000,20365.500000,44952948358
2023-03-16,20385.951172,20887.695313,19940.314453,20199.994141,20199.994141,36176824956
2023-03-17,20197.917969,20780.912109,20066.919922,20687.966797,20687.966797,27965747139
2023-03-18,20689.894531,22810.542969,20617.287109,22512.304688,22512.304688,41644471530
2023-03-19,22532.160156,22759.763672,21873.351563,22144.029297,22144.029297,29335293435
2023-03-20,22147.005859,23302.375000,22096.267578,23006.376953,23006.376953,30990701486
2023-03-21,23008.779297,23369.998047,22380.027344,22622.966797,22622.966797,36479012202
2023-03-22,22623.908203,23321.863281,22394.839844,23049.593750,23049.593750,29533868173
2023-03-23,23035.607422,23418.121094,21804.472656,22240.951172,22240.951172,27188488459
2023-03-24,22236.488281,23322.341797,22122.228516,23071.191406,23071.191406,19721706115
2023-03-25,23063.162109,23118.322266,22114.388672,22485.712891,22485.712891,21248309082
2023-03-26,22480.849609,22729.878906,22242.765625,22486.875000,22486.875000,10945452043
2023-03-27,22487.544922,23045.833984,22446.259766,22861.289063,22861.289063,11333626517
2023-03-28,22861.076172,22913.685547,21672.691406,22070.970703,22070.970703,14791755225
2023-03-29,22065.279297,22249.443359,21676.927734,22114.345703,22114.345703,14422428778
2023-03-30,22113.453125,23247.970703,22098.017578,23028.177734,23028.177734,16802919368
2023-03-31,23029.556641,23696.794922,22385.359375,22632.449219,22632.449219,18112820817
2023-04-01,22631.398438,23144.845703,22306.205078,23068.853516,23068.853516,15391930414
2023-04-02,23064.679688,23331.287109,22921.982422,23014.216797,23014.216797,8810430061
2023-04-03,23056.185547,23101.640625,22638.253906,22951.812500,22951.812500,9998642108
2023-04-04,22938.603516,23054.462891,21967.660156,22374.656250,22374.656250,15745467244
2023-04-05,22378.726563,22755.097656,22293.582031,22536.189453,22536.189453,12228563444
2023-04-06,22537.500000,22994.781250,22335.488281,22610.324219,22610.324219,13682965923
2023-04-07,22608.111328,22610.646484,22262.960938,22547.152344,22547.152344,11125432688
2023-04-08,22542.992188,22602.537109,22341.314453,22482.773438,22482.773438,8744608628
